"Timestamp","What is your country of origin?","In which country do you currently reside ?","How old are you ?","Sex","What is your blood group ?","Are you in a relationship ?","What is the blood group of your partner ?","I like helping people.","I enjoy being part of a group.","I choose my words with care.","I take charge.","I get nervous talking to people I don't know. ","I like order.","I get upset easily.","I am modest about what I have achieved.","I seek adventure.","I enjoy being the center of attention. ","I prefer variety to routine.","I feel others' emotions.","I find it hard to trust people. ","I avoid arguing even when I disagree. ","I avoid being alone.","I am more of a detailed-oriented than a big picture person. ","I tend to focus on present realities rather than future possibilities. ","I would rather go with the flow than have a set schedule.","I often talk about my own feelings and emotions. ","After an exhausting week a fun party is just what I need.","I rarely feel insecure. "
"2020/01/25 11:35:27 AM PST","Cote d'ivoire","United States","32","Male","B+","Yes","O+","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Strongly disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Strongly disagree","Disagree"
"2020/01/25 11:35:38 AM PST","Ghana ","United States ","31","Female","O+","Yes","B+","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Disagree","Strongly disagree","Strongly agree","Neutral","Strongly agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Strongly disagree","Agree"
"2020/01/25 11:42:27 AM PST","Cameroon","South Africa ","39","Male","O+","Yes","I don't know","Agree","Neutral","Agree","Strongly Agree","Disagree","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Disagree","Agree"
"2020/01/25 11:59:50 AM PST","France","France","53","Female","AB+","Yes","O+","Agree","Neutral","Agree","Agree","Disagree","Agree","Neutral","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2020/01/25 12:09:12 PM PST","Nigeria","USA","25","Female","A+","Yes","I don't know","Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Neutral","Strongly agree","Agree","Strongly disagree","Disagree","Neutral","Disagree"
"2020/01/25 12:41:21 PM PST","Nigeria ","Nigeria ","23","Female","O+","Yes","A+","Strongly Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Disagree","Agree","Disagree","Neutral","Strongly disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree"
"2020/01/25 12:44:47 PM PST","Nigeria","Nigeria","25","Female","O+","No","I don't know","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly agree","Disagree","Agree"
"2020/01/25 12:44:53 PM PST","Nigeria","Nigeria","25","Female","O+","No","I don't know","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly agree","Disagree","Agree"
"2020/01/25 12:46:46 PM PST","Nigeria","Nigeria","26","Male","B+","No","N/A","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Agree","Strongly disagree","Neutral","Disagree","Agree","Neutral","Strongly agree","Neutral","Strongly agree","Strongly agree"
"2020/01/25 12:50:23 PM PST","Burkina Faso","Usa","40","Male","B-","No","N/A","Agree","Agree","Agree","Agree","Disagree","Strongly disagree","Disagree","Agree","Agree","Strongly disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree"
